trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-83.25102800609757,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-104.36857113575627,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-111.78968967551269,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-131.70045391031968,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-164.16516838860292,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-87.5253187500394,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-56.04795052520041,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-105.07028224331235,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-59.82282527630419,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-133.75199629910725,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-129.99599959047399,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-129.37215558019065,"{0: 21, 1: 2, 2: 2, 3: 4, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-78.62223030255686,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-79.19343232938601,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-41.404512775979285,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-27.335309198054933,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-24.06828310399361,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-28.549721856674314,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-54.777577615332085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-79.8127309232613,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,1,26.11869580580328,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,15.666112522115602,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-35.22353396466266,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-33.024026520577294,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-75.01894030251346,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-22.40377487078655,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-30.567380985891447,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-54.279878070550716,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-20.75350868638202,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,4,37.39247371696982,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
