trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",25,2,-14.179453648222195,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.994009}",20,0,-78.43365293517454,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.991026973}",30,0,-223.6930579339415,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",25,0,-122.29494539111654,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",20,0,-113.05582874342971,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",30,5,-61.231014600370315,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9791880578299021}",20,0,-84.85651440604018,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9762504936564125}",25,18,-20.06636798018021,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9733217421754432}",20,0,-118.21591063864058,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",30,0,-114.1125123890089,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-81.94339924332384,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",30,0,-166.91210476660567,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",20,0,-91.60250907351035,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966956}",20,8,-51.490635513532524,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9559328248389055}",20,0,-93.48799635871531,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",20,0,-69.26672579714034,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",35,0,-117.26357964183015,"{0: 22, 1: 8, 2: 2, 3: 2, 4: 1}",0
